,yield_rate_000001.SZ,yield_rate_600015.SH,yield_rate_601398.SH,yield_rate_601939.SH,yield_rate_601988.SH,yield_rate_601998.SH,amihud_000001.SZ,amihud_600015.SH,amihud_601398.SH,amihud_601939.SH,amihud_601988.SH,amihud_601998.SH,,IN
yield_rate_000001.SZ,0,0.154530645,0.131057474,0.142475798,0.128352599,0.133211209,0.011929553,0.010214053,0.006168519,0.012078862,0.003781016,0.018422787,0.752222514,
yield_rate_600015.SH,0.144173104,0,0.137355306,0.14216373,0.147311984,0.148851228,0.007746302,0.010047631,0.006329886,0.012526347,0.002128405,0.013826462,0.772460386,
yield_rate_601398.SH,0.120461998,0.134158791,0,0.188423636,0.168403824,0.128204168,0.004724628,0.0061183,0.005336582,0.006565023,0.002817292,0.011776014,0.776990255,
yield_rate_601939.SH,0.127788334,0.13549667,0.18405194,0,0.162214531,0.126164564,0.006542563,0.007670739,0.0073206,0.009181982,0.003098058,0.01296246,0.782492442,
yield_rate_601988.SH,0.116441702,0.142538774,0.168360528,0.165600244,0,0.139843129,0.005749859,0.007064963,0.0076621,0.009242442,0.004379605,0.012686826,0.779570173,
yield_rate_601998.SH,0.131597305,0.156687341,0.138804748,0.13963192,0.151951607,0,0.005746128,0.005376053,0.004342045,0.009583834,0.001979041,0.014897214,0.760597235,
amihud_000001.SZ,0.042866768,0.031353399,0.021555868,0.027112001,0.022083355,0.026302037,0,0.094058384,0.104863718,0.061390318,0.043171029,0.047201256,0.521958134,
amihud_600015.SH,0.044432567,0.040629329,0.032879292,0.042520402,0.038244383,0.036632387,0.093803677,0,0.073511094,0.060508281,0.076250911,0.119369023,0.658781346,
amihud_601398.SH,0.025374619,0.021524459,0.007683725,0.017096051,0.013871266,0.01297755,0.10386727,0.081233366,0,0.14669588,0.096657538,0.095846517,0.62282824,
amihud_601939.SH,0.0300216,0.034496307,0.014219385,0.021797247,0.02253326,0.023603323,0.091665685,0.08065341,0.145911897,0,0.071426393,0.09811031,0.634438816,
amihud_601988.SH,0.036793757,0.031608817,0.020934437,0.028400386,0.016556417,0.0245667,0.067298123,0.109573875,0.109839183,0.074565865,0,0.115086531,0.635224093,
amihud_601998.SH,0.057634469,0.052907977,0.037300403,0.047564676,0.037723153,0.040570589,0.073133755,0.099191571,0.07081275,0.061308349,0.07173113,0,0.649878821,
OUT,0.877586224,0.935932511,0.894203106,0.96278609,0.909246378,0.840926884,0.472207541,0.511202346,0.542098374,0.463647183,0.377420418,0.5601854,,
